File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
E:\AshyEngine\AshyCommon\AssemblyUtils.cs,170,103,52,11,28,1,39,190,0,0
E:\AshyEngine\AshyCommon\DebugExtension.cs,16,13,9,0,3,0,0,0,0,0
E:\AshyEngine\AshyCommon\DictionaryExtension.cs,45,32,14,6,5,1,8,28,0,0
E:\AshyEngine\AshyCommon\ListExtension.cs,27,16,7,1,2,1,9,36,0,0
E:\AshyEngine\AshyCommon\StringExtention.cs,73,42,21,8,7,1,24,101,0,0
E:\AshyEngine\AshyCommon\Math\BezierCurve.cs,103,79,53,10,13,1,11,36,0,0
E:\AshyEngine\AshyCommon\Math\ITransformBase.cs,22,10,5,0,1,1,11,47,0,0
E:\AshyEngine\AshyCommon\Math\Mat3.cs,176,128,75,17,27,1,21,111,0,0
E:\AshyEngine\AshyCommon\Math\Mat4.cs,458,357,207,52,70,1,31,161,0,0
E:\AshyEngine\AshyCommon\Math\Math.cs,86,54,35,2,16,1,16,84,0,0
E:\AshyEngine\AshyCommon\Math\Quat.cs,267,171,94,15,45,2,51,216,0,0
E:\AshyEngine\AshyCommon\Math\Transform.cs,333,215,140,23,47,1,71,373,0,0
E:\AshyEngine\AshyCommon\Math\TransformBase.cs,46,30,16,0,11,1,5,19,0,0
E:\AshyEngine\AshyCommon\Math\Vec2.cs,208,149,83,27,43,1,16,51,0,0
E:\AshyEngine\AshyCommon\Math\Vec3.cs,327,220,128,38,63,1,44,187,0,0
E:\AshyEngine\AshyCommon\Math\Vec4.cs,294,196,120,34,58,1,40,156,0,0
E:\AshyEngine\AshyCommon\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,101,0,0
E:\AshyEngine\AshyCore\Camera.cs,171,86,55,0,32,2,53,168,0,0
E:\AshyEngine\AshyCore\ConfigTable.cs,59,32,13,1,13,1,14,49,0,0
E:\AshyEngine\AshyCore\CoreAPI.cs,83,66,38,8,11,1,6,25,0,0
E:\AshyEngine\AshyCore\Engine.cs,31,21,15,0,9,0,1,1,0,0
E:\AshyEngine\AshyCore\EngineOld.cs,157,20,9,0,36,2,101,347,0,0
E:\AshyEngine\AshyCore\GameLevel.cs,189,144,66,11,33,1,12,45,0,0
E:\AshyEngine\AshyCore\IEngine.cs,39,24,15,0,10,1,5,19,0,0
E:\AshyEngine\AshyCore\IWindow.cs,15,13,9,0,2,0,0,0,0,0
E:\AshyEngine\AshyCore\Log.cs,116,71,38,0,18,1,27,114,0,0
E:\AshyEngine\AshyCore\Material.cs,60,45,20,5,10,1,5,19,0,0
E:\AshyEngine\AshyCore\Mesh.cs,139,86,60,3,25,1,28,98,0,0
E:\AshyEngine\AshyCore\ShaderAlias.cs,85,53,27,9,18,1,14,46,0,0
E:\AshyEngine\AshyCore\Texture.cs,64,37,16,1,16,1,11,36,0,0
E:\AshyEngine\AshyCore\UITexture.cs,36,25,17,0,6,1,5,19,0,0
E:\AshyEngine\AshyCore\World.cs,32,19,7,0,8,1,5,19,0,0
E:\AshyEngine\AshyCore\CoreCommands\CoreCommandHandler.cs,38,31,15,6,6,0,1,3,0,0
E:\AshyEngine\AshyCore\CoreCommands\LevelCommands.cs,44,34,18,6,7,2,3,23,0,0
E:\AshyEngine\AshyCore\Debug\Critical.cs,47,43,23,3,4,0,0,0,0,0
E:\AshyEngine\AshyCore\Debug\Debug.cs,23,12,5,0,2,1,9,34,0,0
E:\AshyEngine\AshyCore\Debug\MiniDumpWriter.cs,66,50,16,1,7,1,9,28,0,0
E:\AshyEngine\AshyCore\EngineAPI\EngineProxy.cs,48,31,16,0,12,1,5,19,0,0
E:\AshyEngine\AshyCore\EngineAPI\ICoreEngine.cs,23,12,7,0,6,1,5,19,0,0
E:\AshyEngine\AshyCore\EngineAPI\IEngineAPI.cs,46,26,11,0,8,1,12,48,0,0
E:\AshyEngine\AshyCore\EngineAPI\IGameEngine.cs,17,12,8,0,3,0,2,10,0,0
E:\AshyEngine\AshyCore\EngineAPI\IPhysicsEngine.cs,21,9,4,0,2,1,10,43,0,0
E:\AshyEngine\AshyCore\EngineAPI\IRenderEngine.cs,22,9,4,0,2,1,11,45,0,0
E:\AshyEngine\AshyCore\EngineAPI\IScriptingEngine.cs,25,11,6,0,3,1,11,50,0,0
E:\AshyEngine\AshyCore\EngineAPI\EngineCommands\EngineCommandProcessor.cs,74,52,27,16,22,0,0,0,0,0
E:\AshyEngine\AshyCore\EngineAPI\EngineCommands\IEngineCommand.cs,53,40,15,1,10,3,3,31,0,0
E:\AshyEngine\AshyCore\EngineAPI\EngineCommands\LevelCommands.cs,80,56,30,0,24,0,0,0,0,0
E:\AshyEngine\AshyCore\EntityManagement\AABZone.cs,69,35,15,6,16,1,18,64,0,0
E:\AshyEngine\AshyCore\EntityManagement\ITrigger.cs,33,12,7,0,4,1,17,83,0,0
E:\AshyEngine\AshyCore\EntityManagement\IZone.cs,29,11,6,0,3,1,15,63,0,0
E:\AshyEngine\AshyCore\EntityManagement\Script.cs,39,18,7,0,7,1,14,44,0,0
E:\AshyEngine\AshyCore\EntityManagement\SphericalZone.cs,48,23,10,0,13,1,12,44,0,0
E:\AshyEngine\AshyCore\EntitySystem\Entity.cs,140,82,47,1,35,1,23,98,0,0
E:\AshyEngine\AshyCore\EntitySystem\GeomComponent.cs,34,17,7,0,8,1,9,31,0,0
E:\AshyEngine\AshyCore\EntitySystem\ICharacterPhysics.cs,33,11,6,0,4,1,18,74,0,0
E:\AshyEngine\AshyCore\EntitySystem\IComponent.cs,25,15,4,0,2,1,8,29,0,0
E:\AshyEngine\AshyCore\EntitySystem\PhysicsComponent.cs,48,29,10,0,10,1,9,31,0,0
E:\AshyEngine\AshyCore\EntitySystem\Player.cs,102,30,15,0,19,1,53,148,0,0
E:\AshyEngine\AshyCore\EntitySystem\RenderComponent.cs,33,17,6,0,7,1,9,37,0,0
E:\AshyEngine\AshyCore\EntitySystem\ScriptComponent.cs,39,21,9,0,9,1,9,30,0,0
E:\AshyEngine\AshyCore\Input\Key.cs,329,153,2,0,10,0,166,765,6,19
E:\AshyEngine\AshyCore\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,101,0,0
E:\AshyEngine\AshyCore\Resource\ConfigResource.cs,50,28,13,1,13,1,9,36,0,0
E:\AshyEngine\AshyCore\Resource\LuaScriptResource.cs,45,24,9,1,12,1,9,35,0,0
E:\AshyEngine\AshyCore\Resource\MeshesResource.cs,133,101,52,9,23,4,9,45,0,0
E:\AshyEngine\AshyCore\Resource\Resource.cs,84,40,12,0,15,1,29,127,0,0
E:\AshyEngine\AshyCore\Resource\ResourceManager.cs,140,82,39,10,24,1,34,140,0,0
E:\AshyEngine\AshyCore\Resource\TextureResource.cs,91,55,24,2,23,1,13,53,0,0
E:\AshyEngine\AshyCore\VFS\BasicFileSystem.cs,69,40,17,3,16,1,13,56,0,0
E:\AshyEngine\AshyCore\VFS\IFileSystem.cs,46,13,8,0,5,1,28,115,0,0
E:\AshyEngine\AshyCore\VFS\ZipFileSystem.cs,90,64,35,4,17,1,9,32,0,0
E:\AshyEngine\AshyGame\Application.cs,76,61,43,6,14,2,1,9,0,0
E:\AshyEngine\AshyGame\Engine.cs,26,18,12,0,7,0,1,8,0,0
E:\AshyEngine\AshyGame\EngineAPIProxy.cs,27,20,14,0,7,0,0,0,0,0
E:\AshyEngine\AshyGame\EngineUser.cs,39,29,20,0,5,1,5,19,0,0
E:\AshyEngine\AshyGame\GameAPI.cs,38,30,19,4,8,0,0,0,0,0
E:\AshyEngine\AshyGame\GameModuleProxy.cs,13,7,2,0,1,1,5,19,0,0
E:\AshyEngine\AshyGame\Program.cs,75,59,30,2,9,1,7,26,0,0
E:\AshyEngine\AshyGame\GameCommands\GameCommandHandler.cs,47,34,17,7,7,1,6,22,0,0
E:\AshyEngine\AshyGame\GameCommands\LevelCommands.cs,85,72,36,12,8,1,5,19,0,0
E:\AshyEngine\AshyGame\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,101,0,0
E:\AshyEngine\AshyPhysics\CharacterPhysics.cs,78,49,26,1,18,1,11,54,0,0
E:\AshyEngine\AshyPhysics\ConversationExtension.cs,75,50,20,4,20,1,5,19,0,0
E:\AshyEngine\AshyPhysics\Engine.cs,94,67,45,1,22,1,5,19,0,0
E:\AshyEngine\AshyPhysics\EntityMotionState.cs,49,37,24,1,7,1,5,19,0,0
E:\AshyEngine\AshyPhysics\PhysicsAPI.cs,40,32,21,5,7,0,1,8,0,0
E:\AshyEngine\AshyPhysics\PhysicsModule.cs,117,10,7,0,22,1,85,311,0,0
E:\AshyEngine\AshyPhysics\PhysicsCommands\LevelCommands.cs,122,94,47,23,23,1,5,19,0,0
E:\AshyEngine\AshyPhysics\PhysicsCommands\PhysicsCommandHandler.cs,47,34,17,7,7,1,6,22,0,0
E:\AshyEngine\AshyPhysics\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,101,0,0
E:\AshyEngine\AshyRenderGL\Engine.cs,18,14,8,0,4,0,0,0,0,0
E:\AshyEngine\AshyRenderGL\Particle.cs,195,157,110,6,33,1,5,19,0,0
E:\AshyEngine\AshyRenderGL\Render.cs,431,22,19,0,81,1,328,972,0,0
E:\AshyEngine\AshyRenderGL\RenderAPI.cs,34,27,16,4,7,0,0,0,0,0
E:\AshyEngine\AshyRenderGL\RenderModule.cs,64,8,5,0,17,1,39,110,0,0
E:\AshyEngine\AshyRenderGL\RenderTexture.cs,89,60,28,2,24,1,5,19,0,0
E:\AshyEngine\AshyRenderGL\Shader.cs,35,22,11,0,8,1,5,19,0,0
E:\AshyEngine\AshyRenderGL\ShaderProgram.cs,131,96,58,8,25,3,10,52,0,0
E:\AshyEngine\AshyRenderGL\Skybox.cs,142,62,35,2,31,1,49,170,0,0
E:\AshyEngine\AshyRenderGL\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,101,0,0
E:\AshyEngine\AshyScripting\Engine.cs,80,60,38,2,20,0,0,0,0,0
E:\AshyEngine\AshyScripting\ScriptingAPI.cs,49,36,25,5,10,0,3,11,0,0
E:\AshyEngine\AshyScripting\ScriptModule.cs,95,12,9,0,17,1,66,197,0,0
E:\AshyEngine\AshyScripting\ScriptTrigger.cs,97,63,36,3,18,1,16,73,0,0
E:\AshyEngine\AshyScripting\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,101,0,0
E:\AshyEngine\AshyScripting\ScriptingCommands\LevelCommands.cs,91,67,37,17,19,1,5,19,0,0
E:\AshyEngine\AshyScripting\ScriptingCommands\ScriptingCommandHandler.cs,47,34,17,7,7,1,6,22,0,0
E:\AshyEngine\UnitTestProject\MathTest.cs,117,95,59,0,20,14,2,71,0,0
E:\AshyEngine\UnitTestProject\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,110,0,0
